colonia,Calle,# de casa,Código postal,Unnamed: 4,Coordenadas,Latitud,Longitud
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,"(20.7108869, -103.3308462)",20.7108869,-103.3308462
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,"(20.70184763, -103.33378321)",20.70184763,-103.33378321
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,"(20.600206, -103.3917429)",20.600206,-103.3917429
JARDINES DE LOS POET,JOSE FERNANDEZ,3365,44820,Guadalajara,"(20.6484961, -103.29001645)",20.6484961,-103.29001645
LOMAS DEL GALLO,FERNANDO SOLIS,1338,44760,Guadalajara,"(20.67890219, -103.27083555)",20.67890219,-103.27083555
BATALLON SN PATRICIO,CALZADA INDEPEN,503,44300,Guadalajara,"(20.71436167, -103.3128224)",20.71436167,-103.3128224
TETLAN,GIGANTES,108,44820,Guadalajara,"(20.65942035, -103.2728094)",20.65942035,-103.2728094
MODERNA,AV ESPANA,1092,44190,Guadalajara,"(20.66398621, -103.35904694)",20.66398621,-103.35904694
RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,"(20.7334639, -103.3219648)",20.7334639,-103.3219648
GENERAL REAL,MARCONI,17,44400,Guadalajara,"(20.6682228, -103.3242311)",20.6682228,-103.3242311
MARAVILLA,HACIENDA DE GUA,1124,44700,Guadalajara,"(20.7016579, -103.306797)",20.7016579,-103.306797
BARRIO ANALCO,ABASOLO,147,44450,Guadalajara,"(20.67168319, -103.33956176)",20.67168319,-103.33956176
BEATRIZ HERNANDEZ,MARGARITA GUTIE,3497,44760,Guadalajara,"(20.6814079, -103.284874)",20.6814079,-103.284874
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,"(20.66032405, -103.2988143)",20.66032405,-103.2988143
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,"(20.679539, -103.3821471)",20.679539,-103.3821471
OBLATOS PONIENTE,HACIENDA DE LAS,2299,44700,Guadalajara,"(20.6942949, -103.2973538)",20.6942949,-103.2973538
LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,"(20.650031, -103.3199848)",20.650031,-103.3199848
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,"(20.682905, -103.33238)",20.682905,-103.33238
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,"(20.668444, -103.3673828)",20.668444,-103.3673828
HERMOSA PROVIN ZO TE,ARQUIMIDES,630,44770,Guadalajara,"(20.6711219, -103.2859288)",20.6711219,-103.2859288
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,"(20.67964, -103.3047158)",20.67964,-103.3047158
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"(20.678154, -103.319812)",20.678154,-103.319812
GARIBAY,DAMASCO,785,44750,Guadalajara,"(20.6735769, -103.2949879)",20.6735769,-103.2949879
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,"(20.68501033, -103.29072903)",20.68501033,-103.29072903
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,"(20.690509, -103.328187)",20.690509,-103.328187
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,"(20.696344, -103.2789)",20.696344,-103.2789
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,"(20.6998021, -103.291066)",20.6998021,-103.291066
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,"(20.7145639, -103.337542)",20.7145639,-103.337542
OBREROS D L CONSTRUC,ABEDUL,274,44900,Guadalajara,"(20.6545689, -103.3645921)",20.6545689,-103.3645921
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,"(20.6879689, -103.3157451)",20.6879689,-103.3157451
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,"(20.62105567, -103.34907311)",20.62105567,-103.34907311
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,"(20.69490083, -103.3034431)",20.69490083,-103.3034431
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,"(20.73838025, -103.31168078)",20.73838025,-103.31168078
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,"(20.7417459, -103.3154301)",20.7417459,-103.3154301
MORELOS,PELICANO,1272,44910,Guadalajara,"(20.6506979, -103.360933)",20.6506979,-103.360933
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,"(20.665926, -103.288257)",20.665926,-103.288257
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,"(20.637455, -103.380993)",20.637455,-103.380993
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,"(20.683706, -103.368627)",20.683706,-103.368627
MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,"(20.6127044, -103.3450677)",20.6127044,-103.3450677
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,"(20.67045214, -103.30540319)",20.67045214,-103.30540319
ARANDAS,HACIENDA LA ERR,1877,44720,Guadalajara,"(20.68994212, -103.28795987)",20.68994212,-103.28795987
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,"(20.6190587, -103.3629314)",20.6190587,-103.3629314
EL CENTRO,JUAREZ,400,44100,Guadalajara,"(20.6751683, -103.348691)",20.6751683,-103.348691
ARTESANOS,INDEPENDENCIA,919,44200,Guadalajara,"(20.678064, -103.356838)",20.678064,-103.356838
MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,"(20.6996615, -103.3042162)",20.6996615,-103.3042162
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,"(20.618594, -103.37202)",20.618594,-103.37202
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,"(20.6069021, -103.3496879)",20.6069021,-103.3496879
GUADALUPANA,CELEDONIO PADIL,2162,44220,Guadalajara,"(20.7099819, -103.355384)",20.7099819,-103.355384
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,"(20.7208786, -103.3313266)",20.7208786,-103.3313266
EL MIRADOR,EMILIANO ZAPATA,780,44370,Guadalajara,"(20.684788, -103.3233951)",20.684788,-103.3233951
JARDINES DE LA CRUZ,ISLA MADAGASCAR,3111,44950,Guadalajara,"(20.63864, -103.386237)",20.63864,-103.386237
LOMAS DEL PRADERO,AV PRESIDENTE,2235,44840,Guadalajara,"(20.648519, -103.3130901)",20.648519,-103.3130901
18 DE MARZO,FAJA DE ORO,1783,44960,Guadalajara,"(20.6350123, -103.3779206)",20.6350123,-103.3779206
LA AURORA,JARDINES DE BAB,20,44790,Guadalajara,"(20.663892, -103.278645)",20.663892,-103.278645
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,"(20.6849943, -103.2719253)",20.6849943,-103.2719253
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,"(20.681007, -103.2865761)",20.681007,-103.2865761
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,"(20.6848539, -103.321828)",20.6848539,-103.321828
LOS ALMENDROS,ANTONIO GARCIA,3912,44240,Guadalajara,"(20.71497565, -103.32990165)",20.71497565,-103.32990165
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,"(20.637418, -103.37829)",20.637418,-103.37829
INDEPENDENCIA PTE,ROGELIO BACON,1676,44290,Guadalajara,"(20.7036, -103.3334499)",20.7036,-103.3334499
SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,"(20.702616, -103.287933)",20.702616,-103.287933
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,"(20.6494585, -103.3388108)",20.6494585,-103.3388108
SAN VICENTE,MONTES MARCIANO,2173,44330,Guadalajara,"(20.70378, -103.3159849)",20.70378,-103.3159849
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,"(20.6156665, -103.3528171)",20.6156665,-103.3528171
PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"(20.6266889, -103.3338499)",20.6266889,-103.3338499
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,"(20.6230026, -103.3552397)",20.6230026,-103.3552397
BALCONES DE OBLATOS,ROSA RODRIGUEZ,3876,44720,Guadalajara,"(20.6952319, -103.2769238)",20.6952319,-103.2769238
LOMAS DE POLANCO,RAMON ALCORTA,1597,44960,Guadalajara,"(20.6305508, -103.3684773)",20.6305508,-103.3684773
CIRCUNVAL VALLARTA,REFORMA,2749,44680,Guadalajara,"(20.6804909, -103.3859638)",20.6804909,-103.3859638
JARDINES DE LA PAZ,TEJEDORES,569,44860,Guadalajara,"(20.647502, -103.3072318)",20.647502,-103.3072318
SAN MARCOS,CANTERA,819,44330,Guadalajara,"(20.696713, -103.315329)",20.696713,-103.315329
ELECTRICISTAS,RAMOS ARIZPE,451,44810,Guadalajara,"(20.653829, -103.3106468)",20.653829,-103.3106468
LADRON DE GUEVARA,FRAY LUIS DE PA,443,44600,Guadalajara,"(20.6842089, -103.379311)",20.6842089,-103.379311
LA LOMA,LUIS PAEZ BROTC,1574,44410,Guadalajara,"(20.6603006, -103.3213277)",20.6603006,-103.3213277
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,"(20.73358345, -103.33812714)",20.73358345,-103.33812714
GENERAL REAL,PENSADOR MEXICA,1070,44400,Guadalajara,"(20.665364, -103.3312438)",20.665364,-103.3312438
LOMAS DL PARAISO 1,RAFAEL CARDENAS,290,44250,Guadalajara,"(20.724967, -103.320318)",20.724967,-103.320318
DIVISION DEL NORTE,TERUEL,3693,44230,Guadalajara,"(20.721705, -103.3379679)",20.721705,-103.3379679
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,"(20.731589, -103.324636)",20.731589,-103.324636
JARDINES DE STA ISAB,STA MARTHA,3165,44300,Guadalajara,"(20.714658, -103.313579)",20.714658,-103.313579
JARDINES DEL NILO,HERNANDO ALVARA,3254,44860,Guadalajara,"(20.6437163, -103.2937008)",20.6437163,-103.2937008
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,"(20.6966362, -103.30405426)",20.6966362,-103.30405426
